-8, 27
1, 63
-32, 10
-66, 32
-124, -19
-102, -49
-18, -61
-90, -169
-93, -302
32, -137
88, -279
84, -118
140, -135
237, -160
281, -52
211, 16
288, 49
200, 123
106, -11
171, -51
97, -66
-296, -93
-322, 93
-373, 236
-351, 386
-182, 462
-99, 253
41, 212
-51, 148
-89, 111
171, 350
247, 330
461, 412
581, 1104
358, 207
386, 54
388, -57
380, -226
213, -336
254, -360
-27, -480
-287, -429
-362, -227
-630, 106
-896, 839
-1832, 503
-1467, 1996
-578, -284
-2805, 2935
-3605, 674
-2052, -612
-850, -537
-593, -918
9, -1075
872, -267
1201, 333
1598, 705
295, 3511
2805, 2935
3685, 998
3419, -1614
-16, -2099
-1440, -2280
-3419, -1614
