176.061, 170.88
-66.969, -606.976
242.654, 132.243
164.949, -57.655
91.389, 103.574
99.429, -334.219
-18.404, 193.35
-16.364, 104.879
25.054, 25.45
522.297, -193.134
436.562, -373.858
192.254, 276.835
-416.962, 258.853
71.097, 174.981
198.639, -27.787
-396.094, 18.153
103.972, -39.268
-226.167, 36.69
-318.506, 125.535
-46.269, -2.061
163.962, 3.157
-389.063, -302.25
-229.144, 345.759
-136.392, 110.671
-54.749, 45.694
-213.017, 282.157
418.688, -84.697
143.813, -63.878
-282.214, 72.204
-10.417, -244.618
194.556, 83.973
-81.701, 13.926
-429.376, -280.397
234.769, -234.833
-445.419, -177.57
-61.951, 157.988
380.132, 165.606
94.251, 66.542
-169.38, -136.695
169.497, 242.84
-130.841, 61.884
82.985, -388.329
-248.388, -130.752
-127.192, 88.41
110.91, -158.48
-79.387, 138.975
16.065, -162.254
44.682, 346.417
-134.745, -221.536
205.048, 412.908
311.991, -72.972
-5.728, -289.321
-45.094, 234.652
511.999, 92.634
-178.644, 96.323
-449.125, -100.602
1808.727, -1849.094
-1269.759, 4222.136
1830.618, -872.945
1042.711, 910.623
643.621, -524.147
554.371, 2372.854
-335.516, -2204.955
-311.006, -578.926
-85.148, -141.128
4355.955, 798.831
3220.445, 2676.747
2175.319, -2864.864
-3753.578, -1390.82
388.291, -1460.652
1307.771, 580.398
-3190.45, 400.925
732.985, 736.581
-1510.254, 122.862
-2303.276, -209.614
-766.562, 474.935
1027.818, 200.245
-3373.788, 2233.961
-1208.553, -3073.213
-980.743, -560.74
